year,kt,party,id_kt,others_name,ap_i,vote,ap_s,seats,kname,s
2011,LU,csp,LU2011,,,0,0,,Luzern,0
1995,NE,csp,NE1995,,,0,0,,Neuenburg,0
1999,NE,csp,NE1999,,,0,0,,Neuenburg,0
2003,NE,csp,NE2003,,,0,0,,Neuenburg,0
2007,NE,csp,NE2007,,,0,0,,Neuenburg,0
2011,NE,csp,NE2011,,,0,0,,Neuenburg,0
1995,NW,csp,NW1995,,,0,0,,Nidwalden,0
1999,NW,csp,NW1999,,,0,0,,Nidwalden,0
2003,NW,csp,NW2003,,,0,0,,Nidwalden,0
2007,NW,csp,NW2007,,,0,0,,Nidwalden,0
2011,NW,csp,NW2011,,,0,0,,Nidwalden,0
1995,OW,csp,OW1995,,,0,0,,Obwalden ,0
1999,OW,csp,OW1999,,,0,0,,Obwalden ,0
2003,OW,csp,OW2003,,,0,0,,Obwalden ,0
2007,OW,csp,OW2007,,,0,0,,Obwalden ,0
2011,OW,csp,OW2011,,,0,0,,Obwalden ,0
1995,SG,csp,SG1995,,,0,0,,St. Gallen,0
1999,SG,csp,SG1999,,,0,0,,St. Gallen,0
2003,SG,csp,SG2003,,,0,0,,St. Gallen,0
2007,SG,csp,SG2007,,,0,0,,St. Gallen,0
2011,SG,csp,SG2011,,,0,0,,St. Gallen,0
1995,SH,csp,SH1995,,,0,0,,Schaffhausen,0
1999,SH,csp,SH1999,,,0,0,,Schaffhausen,0
2003,SH,csp,SH2003,,,0,0,,Schaffhausen,0
2007,SH,csp,SH2007,,,0,0,,Schaffhausen,0
2011,SH,csp,SH2011,,,0,0,,Schaffhausen,0
1995,SO,csp,SO1995,,,0,0,,Solothurn,0
1999,SO,csp,SO1999,,,0,0,,Solothurn,0
2003,SO,csp,SO2003,,,0,0,,Solothurn,0
2007,SO,csp,SO2007,,,0,0,,Solothurn,0
2011,SO,csp,SO2011,,,0,0,,Solothurn,0
1995,SZ,csp,SZ1995,,,0,0,,Schwyz,0
1999,SZ,csp,SZ1999,,,0,0,,Schwyz,0
2003,SZ,csp,SZ2003,,,0,0,,Schwyz,0
2007,SZ,csp,SZ2007,,,0,0,,Schwyz,0
2011,SZ,csp,SZ2011,,,0,0,,Schwyz,0
1995,TG,csp,TG1995,,,0,0,,Thurgau,0
1999,TG,csp,TG1999,,,0,0,,Thurgau,0
2003,TG,csp,TG2003,,,0,0,,Thurgau,0
2007,TG,csp,TG2007,,,0,0,,Thurgau,0
2011,TG,csp,TG2011,,,0,0,,Thurgau,0
1995,TI,csp,TI1995,,,0,0,,Tessin,0
1999,TI,csp,TI1999,,,0,0,,Tessin,0
2003,TI,csp,TI2003,,,0,0,,Tessin,0
2007,TI,csp,TI2007,,,0,0,,Tessin,0
2011,TI,csp,TI2011,,,0,0,,Tessin,0
1995,UR,csp,UR1995,,,0,0,,Uri,0
1999,UR,csp,UR1999,,,0,0,,Uri,0
2003,UR,csp,UR2003,,,0,0,,Uri,0
2007,UR,csp,UR2007,,,0,0,,Uri,0
2011,UR,csp,UR2011,,,0,0,,Uri,0
1995,VD,csp,VD1995,,,0,0,,Waadt,0
1999,VD,csp,VD1999,,,0,0,,Waadt,0
2003,VD,csp,VD2003,,,0,0,,Waadt,0
2007,VD,csp,VD2007,,,0,0,,Waadt,0
2011,VD,csp,VD2011,,,0,0,,Waadt,0
1995,VS,csp,VS1995,,,0,0,,Wallis,0
1999,VS,csp,VS1999,,,0,0,,Wallis,0
2003,VS,csp,VS2003,,,0,0,,Wallis,0
2007,VS,csp,VS2007,,VS07C,1.100000023841858,0,,Wallis,0
2011,VS,csp,VS2011,,VS11A,.699999988079071,0,,Wallis,0
1995,ZG,csp,ZG1995,,,0,0,,Zug,0
1999,ZG,csp,ZG1999,,,0,0,,Zug,0
2003,ZG,csp,ZG2003,,,0,0,,Zug,0
2007,ZG,csp,ZG2007,,,0,0,,Zug,0
2011,ZG,csp,ZG2011,,ZG11A,0,0,,Zug,0
1995,ZH,csp,ZH1995,,ZH95C,.2000000029802322,0,,Zürich,0
1999,ZH,csp,ZH1999,,ZH99C,.2000000029802322,0,,Zürich,0
2003,ZH,csp,ZH2003,,,0,0,,Zürich,0
2007,ZH,csp,ZH2007,,ZH07B,.1000000014901161,0,,Zürich,0
2011,ZH,csp,ZH2011,,ZH11B,.2000000029802322,0,,Zürich,0
1995,AG,cvp,AG1995,,AG95A,14.19999980926514,0,,Aargau,2
1999,AG,cvp,AG1999,,AG99A,16.29999923706055,0,,Aargau,3
2003,AG,cvp,AG2003,,AG03B,15.59607982635498,0,,Aargau,2
2007,AG,cvp,AG2007,,AG07B,13.5,1,,Aargau,3
2011,AG,cvp,AG2011,,AG11B,10.60000038146973,0,,Aargau,1
1995,AI,cvp,AI1995,,,85.40000152587891,0,,Appenzell I. Rh. ,1
1999,AI,cvp,AI1999,,,73.5,0,,Appenzell I. Rh. ,1
2003,AI,cvp,AI2003,,,69.16167449951172,0,,Appenzell I. Rh. ,1
2007,AI,cvp,AI2007,,,84.59999847412109,0,,Appenzell I. Rh. ,1
2011,AI,cvp,AI2011,,,76.09999847412109,0,,Appenzell I. Rh. ,1
1995,AR,cvp,AR1995,,,9.5,0,,Appenzell A. Rh.,0
1999,AR,cvp,AR1999,,,0,0,,Appenzell A. Rh.,0
2003,AR,cvp,AR2003,,,0,0,,Appenzell A. Rh.,0
2007,AR,cvp,AR2007,,,0,0,,Appenzell A. Rh.,0
2011,AR,cvp,AR2011,,,10.60000038146973,0,,Appenzell A. Rh.,0
1995,BE,cvp,BE1995,,BE95B,1.799999952316284,1,,Bern,1
1999,BE,cvp,BE1999,,BE99B,2.400000095367432,1,,Bern,1
2003,BE,cvp,BE2003,,BE03B,2.342527389526367,1,,Bern,1
2007,BE,cvp,BE2007,,BE07C,4.699999809265137,0,,Bern,1
2011,BE,cvp,BE2011,,BE11C,2.099999904632568,0,,Bern,0
